PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
64,2021-06-06,17:35:47.28,1,5,"Corn, Jacob",1000056526,Right,SPA_B,"Metz, Reed",1000098713,Right,FC_OB,Undefined,3,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.05011,0.263674,-2.539789,2643.674037,68.240505,8:15,5.91934,1.88208,4.94152,-53.24054,-1.82764,-8.50154,1.73207,-1.22819,69.34939,-9.309645,-4.038875,0.516069,,,,,,,,,,,,3.50323,-0.49059,-1.62792,50,5.90086,5.16361,-108.83599,-1.34651,4.20502,18.97219,-32.76292,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,2826a430-c70f-11eb-8b21-2587103ee89a,73.03766,,,5.70072,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:35:47.28,2021-06-06T17:35:47.2882468-04:00,2021-06-06T21:35:47.2882468Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,7492664e-4ea7-4d54-ad74-136260d11060,55.55761,-109.80051,9.4861,5.92698,0.31912,-16.38146,-1.885,4.94983,2.10251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
65,2021-06-06,17:36:11.93,1,6,"Corn, Jacob",1000056526,Right,SPA_B,"Metz, Reed",1000098713,Right,FC_OB,Undefined,3,Top,0,3,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,73.47451,1.658475,-1.814708,2560.182754,65.65753,8:15,6.00235,1.51675,5.14135,-54.66105,-1.50835,-6.87941,3.01005,-0.76577,67.74507,-8.240155,-3.032083,0.524728,,,,,,,,,,,,2.9204,-0.67307,-1.34132,50,6.11563,3.64095,-106.59951,1.27336,3.36827,17.92351,-32.95033,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,36ce03c0-c70f-11eb-8b21-2587103ee89a,71.83234,,,5.72945,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:36:11.93,2021-06-06T17:36:11.9340000-04:00,2021-06-06T21:36:11.9340000Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,284d41c2-8651-408d-83b0-ac4b30f52687,55.35742,-107.49653,8.96176,6.01063,2.92242,-16.47516,-1.51932,3.47238,1.68413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4433,2.962124,1.766861,1.195264,-1.16878,2.6233,0.90405,-1.94612,5.7443,-3.93459,70.04403,10.75144,-54.7374,-1.74347,65.52078,-4.50596,5.84453,19.76969,-13.07048,-4.05266,-45.68019,2.7038,High,High,High,,,High,High,High
66,2021-06-06,17:36:45.32,2,1,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,3,Top,1,0,0,ChangeUp,,BallCalled,Undefined,Undefined,Undefined,0,0,,75.78841,-0.092791,-1.611292,1786.626911,,,6.0544,2.55871,5.1779,,,,2.99231,2.26776,68.82067,-6.684748,0.993945,0.511151,,,,,,,,,,,,-7.76461,7.89662,-2.42033,50,6.01927,2.49993,-109.81402,-1.30345,-9.39579,21.0866,-22.61852,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,4ac7b150-c70f-11eb-8b21-2587103ee89a,73.74035,,,6.96774,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:36:45.32,2021-06-06T17:36:45.3290276-04:00,2021-06-06T21:36:45.3290276Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,d45ccc5b-5b99-40c0-9d59-c1b4ace6089c,55.31637,-110.83017,10.5433,6.05581,-0.21347,-11.30926,-2.55171,2.95271,-4.69789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
67,2021-06-06,17:37:00.12,2,2,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,3,Top,1,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,85.75224,-0.644551,-2.557663,2195.545019,258.942712,2:45,5.78026,1.90069,5.45414,-33.64088,5.04674,19.48686,2.37286,1.12876,78.48423,-6.817888,0.912623,0.447669,,,,,,,,,,,,-10.60508,3.06882,-1.68912,50,5.70021,4.73696,-124.4348,-2.60381,-16.59937,25.36894,-27.37061,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,538da240-c70f-11eb-8b21-2587103ee89a,84.19706,,,7.26801,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:37:00.12,2021-06-06T17:37:00.1279268-04:00,2021-06-06T21:37:00.1279268Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,41c4075d-0f0f-47ac-a582-0d51ab8b2017,55.04574,-125.45928,12.68447,5.78304,-1.4985,-13.68531,-1.89395,5.40729,-8.29969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
68,2021-06-06,17:37:21.52,2,3,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,3,Top,1,1,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,75.64106,-1.976317,-3.28534,1717.037791,251.421325,2:30,5.69837,2.4122,5.40056,-43.62144,6.42063,14.18926,0.20758,0.51276,69.57827,-9.917615,-0.759988,0.509142,,,,,,,,,,,,-8.16083,4.23961,-2.1297,50,5.49122,5.76641,-109.58819,-5.17142,-9.88792,20.0299,-27.03721,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,604c6bb0-c70f-11eb-8b21-2587103ee89a,74.03126,,,6.06279,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:37:21.52,2021-06-06T17:37:21.5229732-04:00,2021-06-06T21:37:21.5229732Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,61ba06a7-08fa-4041-8382-13294dcaace4,55.09876,-110.51618,10.01495,5.70179,-3.91877,-13.51861,-2.40747,6.22453,-4.94396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
69,2021-06-06,17:37:46.59,2,4,"Corn, Jacob",1000056526,Right,SPA_B,"Miller, Ryan",1000103286,Left,FC_OB,Undefined,3,Top,1,2,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.54975,-0.325975,-2.730373,2202.715071,266.224022,2:45,5.62586,2.18511,5.54899,-36.35632,2.17236,15.29898,2.29121,0.90669,78.73953,-6.979809,-0.001706,0.446749,103.05377,1.624835,2.864853,1829.682124,,,,56.68976,,1.370402,0.384664,-8.52008,1.50189,-1.95935,50,5.5733,5.29215,-124.2169,-2.00478,-13.36536,23.94844,-29.81804,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,6f3ede00-c70f-11eb-8b21-2587103ee89a,84.37051,2.50322,,6.81022,,,,1.95666,2.34289,-0.92879,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:37:46.59,2021-06-06T17:37:46.5935140-04:00,2021-06-06T21:37:46.5935140Z,GroundBall,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,fb93d48b-2130-49ee-a00b-62322f0b728f,54.95145,-125.16787,11.97422,5.6294,-0.82072,-14.90902,-2.18004,5.82288,-6.68268,15.752106,1.96443,150.62618,-21.88885,,,,,,,2.35529,3.85365,-26.01581,,,,,,,-0.92603,7.4551,-3.97731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
70,2021-06-06,17:38:34.18,3,1,"Corn, Jacob",1000056526,Right,SPA_B,"Rozell, Brennan",1000016610,Right,FC_OB,Undefined,3,Top,1,0,0,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.89534,-0.8234,-0.894509,2208.374312,273.780939,3:15,6.00443,1.66317,5.4446,-37.89585,-0.05091,19.6832,2.07537,2.46586,79.35244,-7.744349,2.615666,0.442767,,,,,,,,,,,,-10.22512,0.56803,-1.59828,50,5.90551,1.12091,-126.1321,-3.22072,-16.34123,27.56383,-31.26626,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,8b9de5f0-c70f-11eb-8b21-2587103ee89a,85.12927,,,7.5429,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:38:34.18,2021-06-06T17:38:34.1809956-04:00,2021-06-06T21:38:34.1809956Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,15159b6c-6484-4c9b-a8ba-5683868841c2,55.05499,-127.23198,13.78192,6.00913,-1.9731,-15.63313,-1.65602,1.77297,-8.17062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
71,2021-06-06,17:39:14.76,4,1,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,3,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.91168,1.301461,-1.837033,2524.504977,101.265966,9:30,6.0256,1.33532,5.47003,-48.91688,2.39906,-5.09992,3.16798,-0.80942,68.79236,-7.602724,-2.744842,0.515582,,,,,,,,,,,,2.14,1.31622,-1.17019,50,6.10634,3.62937,-107.41639,0.90557,2.53371,16.27746,-30.61565,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,a3c78190-c70f-11eb-8b21-2587103ee89a,73.10663,,,5.11932,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:39:14.76,2021-06-06T17:39:14.7612964-04:00,2021-06-06T21:39:14.7612964Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,6284c94f-17e3-4735-9266-e8671ce6b6f0,55.02998,-108.17593,8.13873,6.03075,2.33415,-15.30783,-1.33679,3.51114,1.26685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
72,2021-06-06,17:39:38.89,4,2,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,3,Top,1,0,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.04394,0.747154,-0.902392,2620.679674,82.989283,8:45,6.01767,1.42885,4.97594,-51.35613,-0.02252,-13.10776,2.44377,-0.5158,69.11226,-8.529747,-3.217758,0.515671,,,,,,,,,,,,6.28674,0.19421,-1.33034,50,6.04752,2.22396,-108.91532,-0.33249,7.54445,19.29932,-31.94099,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,b22c32d0-c70f-11eb-8b21-2587103ee89a,73.09404,,,5.93168,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:39:38.89,2021-06-06T17:39:38.8956452-04:00,2021-06-06T21:39:38.8956452Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,6bffbda8-50da-4a7f-af3b-966d76c34c48,55.52405,-109.88979,9.64966,6.02359,1.2803,-15.9705,-1.43302,1.84302,3.77222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
73,2021-06-06,17:40:07.34,4,3,"Corn, Jacob",1000056526,Right,SPA_B,"Reynolds, Wes",1000050006,Right,FC_OB,Undefined,3,Top,1,0,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.809,-1.456869,-2.162918,2139.022401,256.732365,2:30,5.99726,1.64504,5.52382,-32.24203,5.15697,17.13934,1.94715,1.05026,80.08561,-7.358252,0.895135,0.440151,,,,,,,,,,,,-9.24725,3.32512,-1.4687,50,5.84884,4.03333,-126.06044,-4.36881,-14.96498,24.25913,-26.79296,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,c3208fa0-c70f-11eb-8b21-2587103ee89a,85.63532,,,6.72338,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:40:07.34,2021-06-06T17:40:07.3434404-04:00,2021-06-06T21:40:07.3434404Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,e675946a-0a71-4cb0-ac48-b0a4ec58c7de,54.97603,-127.01442,12.12956,5.99993,-3.31518,-13.39648,-1.63888,4.62182,-7.48249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
74,2021-06-06,17:40:39.71,5,1,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,3,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.8492,-0.526747,-3.646086,2117.388779,263.850775,2:45,5.64481,2.13872,5.44721,-36.09868,3.15858,18.56832,2.14242,0.2679,78.29702,-7.116127,-0.344411,0.450953,,,,,,,,,,,,-10.30524,2.07303,-1.82965,50,5.57319,7.06651,-123.11257,-2.43297,-15.94061,22.64153,-28.96742,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,d66fa550-c70f-11eb-8b21-2587103ee89a,83.58393,,,6.55219,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:40:39.71,2021-06-06T17:40:39.7120804-04:00,2021-06-06T21:40:39.7120804Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,215a8838-3a08-4f8f-a2f1-af2516a3bf17,55.05332,-124.03844,11.32076,5.64846,-1.24842,-14.48371,-2.13195,7.71836,-7.97031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
75,2021-06-06,17:41:00.32,5,2,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,3,Top,2,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.42954,-1.14746,-2.079742,2630.899247,87.394539,9:00,5.75663,2.36718,4.89897,-48.46038,0.92032,-11.11335,0.63214,-0.5268,71.11604,-9.826476,-4.040167,0.505767,,,,,,,,,,,,4.9802,1.16551,-2.15375,50,5.60335,4.46859,-110.91272,-3.92772,6.24192,18.69283,-30.71326,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,e2b4f900-c70f-11eb-8b21-2587103ee89a,74.52537,,,5.3135,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:41:00.32,2021-06-06T17:41:00.3245860-04:00,2021-06-06T21:41:00.3245860Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,c558dadb-722a-48bc-b1e1-e9a4a64fe046,55.60106,-111.85272,9.34641,5.76203,-2.38325,-15.35663,-2.37057,4.15471,3.12096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
76,2021-06-06,17:41:24.29,5,3,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,3,Top,2,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.26465,0.49578,-1.399457,2190.875131,248.232199,2:15,5.77415,2.07292,5.45032,-29.44458,8.82583,19.0019,3.78472,2.34601,78.61568,-4.950236,1.983502,0.445249,,,,,,,,,,,,-9.88241,4.68949,-1.96246,50,5.79796,2.21698,-125.18912,0.04369,-15.63548,25.99185,-24.75457,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,f0fc5e40-c70f-11eb-8b21-2587103ee89a,84.65477,,,7.64898,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:41:24.29,2021-06-06T17:41:24.2998052-04:00,2021-06-06T21:41:24.2998052Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,11ab1cff-647f-4a5a-94f1-f56db58d1dd1,55.04648,-126.23253,12.99593,5.77626,1.03743,-12.37728,-2.06406,2.84465,-7.81774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
77,2021-06-06,17:41:53.51,5,4,"Corn, Jacob",1000056526,Right,SPA_B,"McGinnis, Chipper",1000069631,Left,FC_OB,Undefined,3,Top,2,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.12034,-1.389587,-3.132409,1596.923821,268.902216,3:00,5.82842,2.28289,5.23224,-46.57495,1.81606,12.63367,0.63878,0.38836,70.94742,-9.826195,-0.890033,0.500673,,,,,,,,,,,,-7.27571,1.71303,-2.00431,50,5.6653,5.6295,-111.76568,-4.28288,-9.17233,20.77171,-30.01447,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,026a7ef0-c710-11eb-8b21-2587103ee89a,75.28361,,,6.17291,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:41:53.51,2021-06-06T17:41:53.5190820-04:00,2021-06-06T21:41:53.5190820Z,,v3,,,,"Hutchins, Ben",1000100020,Right,SPA_B,634579a9-9d4e-4d4b-a78c-df1ad8551be4,55.26744,-112.74038,10.38585,5.83322,-2.87446,-15.00724,-2.27857,6.05991,-4.58616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
78,2021-06-06,17:44:46.48,1,1,"Hickert, Grayson ",1000054732,Right,FC_OB,"Jenkins, Kyle",1000054722,Left,SPA_B,Undefined,3,Bottom,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.62353,-1.413066,-3.308668,2242.602785,214.075106,1:15,5.93383,2.51128,7.16538,-22.36072,15.66619,9.7967,2.78746,0.32589,76.72303,-5.710299,-1.510852,0.44383,80.98872,18.6244,-47.018862,3710.01539,66.95186,24.63259,-87.27761,224.18632,,-58.137396,2.525323,-6.17689,9.17772,-2.32047,50,5.84407,6.70863,-121.5382,-3.49997,-9.25118,23.53073,-18.42848,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,6984d810-c710-11eb-8b21-2587103ee89a,84.92533,24.73658,,6.9005,,,,0.71929,3.17326,-0.67422,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:44:46.48,2021-06-06T17:44:46.4854820-04:00,2021-06-06T21:44:46.4854820Z,LineDrive,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,a1a30469-7b20-4c2f-b230-40ca86542ab8,53.33276,-122.18174,11.76537,5.93289,-2.99596,-9.21424,-2.50741,6.96164,-4.62559,,0.71934,76.73889,-18.19636,3.91996,-0.72161,0.00807,0.05108,-0.01728,0.00202,3.17323,37.93631,-17.93035,1.27387,-0.24974,0.11034,-0.04756,0.01276,-0.00141,-0.67425,-82.34616,2.30953,0.72401,-0.41149,0.15792,-0.04915,0.01028,-0.00099,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
79,2021-06-06,17:45:08.17,1,2,"Hickert, Grayson ",1000054732,Right,FC_OB,"Jenkins, Kyle",1000054722,Left,SPA_B,Undefined,3,Bottom,0,0,1,Slider,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,79.63195,-0.302035,-4.182829,2000.578619,208.110951,1:00,5.74364,2.32033,7.17087,-32.33392,9.03552,4.25449,2.77472,-1.12212,74.27989,-6.396993,-3.403528,0.462925,43.81084,49.29994,-155.208141,3170.263754,,,,104.1094,,-154.936603,2.722945,-3.2828,5.25587,-2.07762,50,5.71591,8.3478,-115.81971,-1.36922,-4.53419,18.21844,-24.91465,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,766bea00-c710-11eb-8b21-2587103ee89a,81.42226,33.34674,,5.35206,,,,3.64407,2.88015,1.03147,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:45:08.17,2021-06-06T17:45:08.1723172-04:00,2021-06-06T21:45:08.1723172Z,Popup,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,dfd201d8-830e-48cf-9d1b-b5cce6f84430,53.33032,-116.34239,9.10922,5.74493,-0.65442,-12.45732,-2.31899,8.47788,-2.26709,357.880381,3.64388,-38.03141,-0.27194,0.82394,-0.38137,0.11819,-0.00074,-0.00865,0.00138,2.88037,48.70314,-21.11982,1.42868,0.17672,-0.40336,0.19451,-0.04242,0.00355,1.03137,-17.56585,-0.32933,0.53011,-0.21858,0.05651,0.00558,-0.00633,0.00091,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
80,2021-06-06,17:45:33.11,1,3,"Hickert, Grayson ",1000054732,Right,FC_OB,"Jenkins, Kyle",1000054722,Left,SPA_B,Undefined,3,Bottom,0,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,69.8178,-0.76636,-4.559009,1455.141422,255.262681,2:30,5.61127,2.70958,6.82634,-49.90948,5.90048,15.32709,0.75085,-0.18049,64.1713,-10.100039,-1.763616,0.537684,,,,,,,,,,,,-9.4854,3.92981,-2.42105,50,5.54402,7.63134,-101.25292,-2.5135,-9.78403,17.52176,-28.12052,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,854ef300-c710-11eb-8b21-2587103ee89a,70.10144,,,5.6465,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:45:33.11,2021-06-06T17:45:33.1185956-04:00,2021-06-06T21:45:33.1185956Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,46dd4af8-46d5-4700-9cde-2d559739677f,53.67208,-101.88638,8.76088,5.61651,-1.49686,-14.06026,-2.70334,7.98506,-4.89201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
81,2021-06-06,17:45:57.04,1,4,"Hickert, Grayson ",1000054732,Right,FC_OB,"Jenkins, Kyle",1000054722,Left,SPA_B,Undefined,3,Bottom,0,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,67.30488,2.62694,-2.157536,1705.447398,46.733967,7:30,5.5737,2.59969,6.24169,-62.78283,-1.88307,-3.96378,2.76821,0.27841,62.09915,-8.971978,-2.873077,0.561667,,,,,,,,,,,,1.45051,-1.10461,-2.43719,50,5.73898,3.8031,-97.72802,2.87385,1.40293,15.39005,-33.24241,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,9394aa90-c710-11eb-8b21-2587103ee89a,67.10813,,,5.20573,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:45:57.04,2021-06-06T17:45:57.0400000-04:00,2021-06-06T21:45:57.0400000Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,9b9e8ba5-5a6b-4d3f-82f6-7aeaa1909cf1,54.25776,-98.39625,7.69503,5.58287,4.3172,-16.6212,-2.601,3.74219,0.70146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.59775,2.625273,1.526323,1.09895,-0.84644,2.39963,-0.16422,-1.51058,6.88866,-2.95158,73.2404,17.72345,-51.53834,-1.17817,72.7348,-4.53457,7.06408,24.08405,-13.07964,-3.2143,-47.7793,3.4394,High,High,High,,,High,High,High
82,2021-06-06,17:46:30.68,2,1,"Hickert, Grayson ",1000054732,Right,FC_OB,"Bocchino, Cal",1000104313,Right,SPA_B,Undefined,3,Bottom,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.52059,2.723365,-2.737324,1687.785408,70.299261,8:15,5.53344,2.5998,6.4814,-65.12897,-1.74366,-9.85304,2.61131,-0.73655,60.924,-9.323316,-4.521428,0.573015,,,,,,,,,,,,4.43292,-1.04016,-2.40341,50,5.69694,4.83122,-95.18373,2.97703,4.08913,13.85878,-33.13353,SPA_B,FC_OB,Spartanburg,Coastal Plains League,CPL,20210606-Spartanburg-1,a79b5070-c710-11eb-8b21-2587103ee89a,65.7792,,,4.59658,,,,,,,1535fbaf-d75b-4715-945c-e5afa488a363,2021-06-06,21:46:30.68,2021-06-06T17:46:30.6841892-04:00,2021-06-06T21:46:30.6841892Z,,v3,,,,"Miller, Ryan",1000103286,Right,FC_OB,387ef0f2-beda-4c67-9949-afc9b507b304,54.01936,-95.76716,6.92939,5.54225,4.3719,-16.56676,-2.60317,4.65908,2.04457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
